snapshot_date,scrape_run_id,watch_id,product_code,series,product_name,color,mrp,source_url,is_synthetic
2026-05-24,seed-2026-05-24,W007,VGP-GRF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Graphite,Graphite,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-05-31,seed-2026-05-31,W007,VGP-GRF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Graphite,Graphite,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-06-07,seed-2026-06-07,W007,VGP-GRF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Graphite,Graphite,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-06-14,seed-2026-06-14,W007,VGP-GRF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Graphite,Graphite,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-06-21,seed-2026-06-21,W007,VGP-GRF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Graphite,Graphite,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-05-10,seed-2026-05-10,W008,VGP-SSF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Stainless Steel,Stainless Steel,65417.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-05-17,seed-2026-05-17,W008,VGP-SSF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Stainless Steel,Stainless Steel,65417.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-05-24,seed-2026-05-24,W008,VGP-SSF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Stainless Steel,Stainless Steel,65417.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-05-31,seed-2026-05-31,W008,VGP-SSF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Stainless Steel,Stainless Steel,65417.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-06-07,seed-2026-06-07,W008,VGP-SSF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Stainless Steel,Stainless Steel,65417.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-06-14,seed-2026-06-14,W008,VGP-SSF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Stainless Steel,Stainless Steel,65417.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-06-21,seed-2026-06-21,W008,VGP-SSF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Stainless Steel,Stainless Steel,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-05-10,seed-2026-05-10,W009,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10994,TRUE
2026-05-17,seed-2026-05-17,W009,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10994,TRUE
2026-05-24,seed-2026-05-24,W009,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10994,TRUE
2026-05-31,seed-2026-05-31,W009,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,29389.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10994,TRUE
2026-06-07,seed-2026-06-07,W009,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,29389.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10994,TRUE
2026-06-14,seed-2026-06-14,W009,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,29389.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10994,TRUE
2026-06-21,seed-2026-06-21,W009,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10994,TRUE
2026-05-10,seed-2026-05-10,W010,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,30167.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10994,TRUE
2026-05-17,seed-2026-05-17,W010,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,30167.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10994,TRUE
2026-05-24,seed-2026-05-24,W010,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,31566.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10994,TRUE
2026-05-31,seed-2026-05-31,W010,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,31566.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10994,TRUE
2026-06-07,seed-2026-06-07,W010,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,30011.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10994,TRUE
2026-06-14,seed-2026-06-14,W010,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,30011.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10994,TRUE
2026-06-21,seed-2026-06-21,W010,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10994,TRUE
2026-05-10,seed-2026-05-10,W011,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,32344.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10996,TRUE
2026-05-17,seed-2026-05-17,W011,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,32344.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10996,TRUE
2026-05-24,seed-2026-05-24,W011,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,32344.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10996,TRUE
2026-05-31,seed-2026-05-31,W011,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10996,TRUE
2026-06-07,seed-2026-06-07,W011,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10996,TRUE
2026-06-14,seed-2026-06-14,W011,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10996,TRUE
2026-06-21,seed-2026-06-21,W011,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10996,TRUE
2026-05-10,seed-2026-05-10,W012,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,30633.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10996,TRUE
2026-05-17,seed-2026-05-17,W012,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,30633.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10996,TRUE
2026-05-24,seed-2026-05-24,W012,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,30633.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10996,TRUE
2026-05-31,seed-2026-05-31,W012,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,32188.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10996,TRUE
2026-06-07,seed-2026-06-07,W012,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,32188.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10996,TRUE
2026-06-14,seed-2026-06-14,W012,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,30633.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10996,TRUE
2026-06-21,seed-2026-06-21,W012,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10996,TRUE
2026-05-10,seed-2026-05-10,W013,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10999,TRUE
2026-05-17,seed-2026-05-17,W013,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10999,TRUE
2026-05-24,seed-2026-05-24,W013,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10999,TRUE
2026-05-31,seed-2026-05-31,W013,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10999,TRUE
2026-06-07,seed-2026-06-07,W013,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10999,TRUE
2026-06-14,seed-2026-06-14,W013,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10999,TRUE
2026-06-21,seed-2026-06-21,W013,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10999,TRUE
2026-05-10,seed-2026-05-10,W014,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,29700.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10999,TRUE
2026-05-17,seed-2026-05-17,W014,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,29700.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10999,TRUE
2026-05-24,seed-2026-05-24,W014,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,29700.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10999,TRUE
2026-05-31,seed-2026-05-31,W014,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,29700.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10999,TRUE
2026-06-07,seed-2026-06-07,W014,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,29700.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10999,TRUE
2026-06-14,seed-2026-06-14,W014,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,29700.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10999,TRUE
2026-06-21,seed-2026-06-21,W014,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10999,TRUE
2026-05-10,seed-2026-05-10,W015,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10995,TRUE
2026-05-17,seed-2026-05-17,W015,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10995,TRUE
2026-05-24,seed-2026-05-24,W015,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10995,TRUE
2026-05-31,seed-2026-05-31,W015,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,29389.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10995,TRUE
2026-06-07,seed-2026-06-07,W015,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,29389.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10995,TRUE
2026-06-14,seed-2026-06-14,W015,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,29389.50,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10995,TRUE
2026-06-21,seed-2026-06-21,W015,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,31100.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10995,TRUE
2026-05-10,seed-2026-05-10,W016,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,30167.00,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10995,TRUE
